UNIT,TOTAL
R022,6891
R201,5946
R046,5319
R022,5193
R179,5090
R022,5045
R102,4975
R022,4899
R033,4897
R033,4856
R018,4828
R020,4826
R240,4802
R055,4759
R020,4725
R012,4707
R179,4692
R020,4680
R022,4546
R022,4540
R011,4516
R022,4503
R022,4487
R031,4463
R025,4457
R057,4437
R046,4306
R046,4293
R047,4274
R033,4273
R011,4256
R033,4234
R201,4204
R033,4204
R137,4146
R046,4127
R205,4114
R170,4113
R025,4112
R033,4109
R240,4089
R046,4047
R101,4020
R170,4011
R018,3950
R138,3904
R179,3882
R025,3868
R022,3867
R170,3855
R055,3824
R170,3823
R461,3819
R046,3798
R055,3768
R011,3767
R390,3727
R170,3708
R018,3685
R170,3655
R168,3652
R018,3635
R390,3633
R102,3617
R170,3614
R138,3591
R010,3586
R097,3579
R046,3573
R011,3551
R170,3542
R215,3540
R201,3505
R170,3486
R260,3485
R046,3476
R046,3475
R170,3467
R020,3446
R170,3437
R240,3437
R248,3417
R170,3414
R179,3397
R055,3396
R012,3395
R235,3391
R018,3381
R096,3348
R057,3347
R319,3322
R221,3322
R394,3310
R023,3304
R208,3304
R158,3302
R046,3301
R179,3286
R452,3277
R018,3274
R349,3266
R023,3261
R097,3255
R011,3247
R118,3245
R201,3237
R021,3225
R208,3223
R097,3223
R243,3216
R093,3206
R020,3198
R153,3191
R244,3184
R170,3174
R053,3173
R170,3171
R018,3152
R218,3151
R046,3137
R138,3137
R020,3136
R240,3128
R168,3126
R138,3114
R260,3106
R022,3083
R081,3076
R055,3074
R018,3073
R541,3066
R084,3062
R310,3057
R541,3055
R168,3052
R248,3047
R023,3043
R055,3041
R102,3039
R240,3031
R179,3030
R018,3026
R293,3026
R018,3023
R023,3022
R096,2970
R310,2968
R020,2963
R031,2960
R105,2960
R170,2957
R033,2919
R205,2918
R062,2914
R461,2907
R168,2905
R092,2897
R010,2892
R208,2883
R101,2871
R293,2863
R033,2862
R033,2861
R084,2856
R378,2856
R023,2846
R138,2843
R055,2843
R300,2842
R024,2840
R096,2839
R175,2837
R217,2836
R103,2834
R023,2832
R322,2826
R452,2825
R055,2818
R198,2815
R170,2814
R020,2812
R024,2810
R201,2807
R197,2802
R022,2798
R097,2795
R303,2787
R132,2787
R062,2785
R235,2784
R541,2784
R084,2779
R080,2766
R101,2766
R033,2766
R452,2762
R257,2760
R118,2759
R167,2759
R084,2757
R221,2756
R024,2752
R240,2751
R033,2750
R010,2747
R260,2740
R132,2731
R020,2728
R201,2720
R054,2717
R293,2705
R025,2704
R375,2700
R102,2696
R170,2688
R151,2688
R025,2684
R101,2679
